1: material=Empty walls=WallAdjacency(0x0), doors=DoorAdjacency(0x0)
34: material=Wall walls=WallAdjacency(SOUTH | SOUTH_WEST | WEST), doors=DoorAdjacency(EAST)
35: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH | SOUTH_WEST | WEST), doors=DoorAdjacency(EAST)
36: material=Wall walls=WallAdjacency(0x0), doors=DoorAdjacency(SOUTH)
37: material=Wall walls=WallAdjacency(EAST), doors=DoorAdjacency(SOUTH)
38: material=Wall walls=WallAdjacency(WEST), doors=DoorAdjacency(SOUTH)
39: material=Wall walls=WallAdjacency(EAST | WEST), doors=DoorAdjacency(SOUTH)
40: material=Wall walls=WallAdjacency(0x0), doors=DoorAdjacency(EAST | SOUTH)
41: material=Wall walls=WallAdjacency(WEST), doors=DoorAdjacency(EAST | SOUTH)
42: material=Wall walls=WallAdjacency(0x0), doors=DoorAdjacency(WEST)
43: material=Wall walls=WallAdjacency(EAST), doors=DoorAdjacency(WEST)
44: material=Wall walls=WallAdjacency(SOUTH), doors=DoorAdjacency(WEST)
45: material=Wall walls=WallAdjacency(EAST | SOUTH), doors=DoorAdjacency(WEST)
46: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH), doors=DoorAdjacency(WEST)
47: material=Wall walls=WallAdjacency(EAST | SOUTH_EAST | SOUTH), doors=DoorAdjacency(WEST)
48: material=Wall walls=WallAdjacency(SOUTH | SOUTH_WEST), doors=DoorAdjacency(WEST)
49: material=Wall walls=WallAdjacency(EAST | SOUTH | SOUTH_WEST), doors=DoorAdjacency(WEST)
50: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH | SOUTH_WEST), doors=DoorAdjacency(WEST)
51: material=Wall walls=WallAdjacency(EAST | SOUTH_EAST | SOUTH | SOUTH_WEST), doors=DoorAdjacency(WEST)
52: material=Wall walls=WallAdjacency(0x0), doors=DoorAdjacency(EAST | WEST)
53: material=Wall walls=WallAdjacency(SOUTH), doors=DoorAdjacency(EAST | WEST)
54: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH), doors=DoorAdjacency(EAST | WEST)
55: material=Wall walls=WallAdjacency(SOUTH | SOUTH_WEST), doors=DoorAdjacency(EAST | WEST)
56: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH | SOUTH_WEST), doors=DoorAdjacency(EAST | WEST)
57: material=Wall walls=WallAdjacency(0x0), doors=DoorAdjacency(SOUTH | WEST)
58: material=Wall walls=WallAdjacency(EAST), doors=DoorAdjacency(SOUTH | WEST)
59: material=Wall walls=WallAdjacency(0x0), doors=DoorAdjacency(EAST | SOUTH | WEST)
60: material=Door walls=WallAdjacency(0x0), doors=DoorAdjacency(0x0)
61: material=Door walls=WallAdjacency(SOUTH_EAST), doors=DoorAdjacency(0x0)
62: material=Door walls=WallAdjacency(SOUTH), doors=DoorAdjacency(0x0)
63: material=Door walls=WallAdjacency(SOUTH_EAST | SOUTH), doors=DoorAdjacency(0x0)
64: material=Door walls=WallAdjacency(SOUTH_WEST), doors=DoorAdjacency(0x0)
65: material=Door walls=WallAdjacency(SOUTH_EAST | SOUTH_WEST), doors=DoorAdjacency(0x0)
66: material=Door walls=WallAdjacency(SOUTH | SOUTH_WEST), doors=DoorAdjacency(0x0)
67: material=Door walls=WallAdjacency(SOUTH_EAST | SOUTH | SOUTH_WEST), doors=DoorAdjacency(0x0)
