result,center,east,south_east,south
TOP_EMPTY_SOUTHWALLCORNER_SOUTHEASTSTAIRN,Empty,StairN,StairN,Wall
TOP_EMPTY,Empty,StairN,StairN,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,StairN,StairN,StairN
TOP_EMPTY,Empty,StairN,StairN,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairN,StairN,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairN,StairN,StairW
TOP_EMPTY,Empty,StairN,StairS,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairN,StairS,Wall
TOP_EMPTY,Empty,StairN,StairS,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairN,StairS,StairN
TOP_EMPTY,Empty,StairN,StairS,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairN,StairS,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairN,StairS,StairW
TOP_EMPTY,Empty,StairN,StairE,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairN,StairE,Wall
TOP_EMPTY,Empty,StairN,StairE,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairN,StairE,StairN
TOP_EMPTY,Empty,StairN,StairE,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairN,StairE,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairN,StairE,StairW
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,StairN,StairW,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,StairN,StairW,Wall
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,StairN,StairW,Door
TOP_EMPTY_SOUTHSTAIRN_SOUTHEASTSTAIRW,Empty,StairN,StairW,StairN
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,StairN,StairW,StairS
TOP_EMPTY_SOUTHSTAIRE_SOUTHEASTSTAIRW,Empty,StairN,StairW,StairE
TOP_EMPTY_SOUTHSTAIRW_SOUTHEASTSTAIRW,Empty,StairN,StairW,StairW
TOP_EMPTY,Empty,StairS,Empty,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairS,Empty,Wall
TOP_EMPTY,Empty,StairS,Empty,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairS,Empty,StairN
TOP_EMPTY,Empty,StairS,Empty,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairS,Empty,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairS,Empty,StairW
TOP_EMPTY,Empty,StairS,Wall,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,StairS,Wall,Wall
TOP_EMPTY,Empty,StairS,Wall,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,StairS,Wall,StairN
TOP_EMPTY,Empty,StairS,Wall,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairS,Wall,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairS,Wall,StairW
TOP_EMPTY,Empty,StairS,Door,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairS,Door,Wall
TOP_EMPTY,Empty,StairS,Door,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairS,Door,StairN
TOP_EMPTY,Empty,StairS,Door,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairS,Door,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairS,Door,StairW
TOP_EMPTY,Empty,StairS,StairN,Empty
TOP_EMPTY_SOUTHWALLCORNER_SOUTHEASTSTAIRN,Empty,StairS,StairN,Wall
TOP_EMPTY,Empty,StairS,StairN,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,StairS,StairN,StairN
TOP_EMPTY,Empty,StairS,StairN,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairS,StairN,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairS,StairN,StairW
TOP_EMPTY,Empty,StairS,StairS,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairS,StairS,Wall
TOP_EMPTY,Empty,StairS,StairS,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairS,StairS,StairN
TOP_EMPTY,Empty,StairS,StairS,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairS,StairS,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairS,StairS,StairW
TOP_EMPTY,Empty,StairS,StairE,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairS,StairE,Wall
TOP_EMPTY,Empty,StairS,StairE,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairS,StairE,StairN
TOP_EMPTY,Empty,StairS,StairE,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairS,StairE,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairS,StairE,StairW
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,StairS,StairW,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,StairS,StairW,Wall
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,StairS,StairW,Door
TOP_EMPTY_SOUTHSTAIRN_SOUTHEASTSTAIRW,Empty,StairS,StairW,StairN
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,StairS,StairW,StairS
TOP_EMPTY_SOUTHSTAIRE_SOUTHEASTSTAIRW,Empty,StairS,StairW,StairE
TOP_EMPTY_SOUTHSTAIRW_SOUTHEASTSTAIRW,Empty,StairS,StairW,StairW
TOP_EMPTY,Empty,StairE,Empty,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairE,Empty,Wall
TOP_EMPTY,Empty,StairE,Empty,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairE,Empty,StairN
TOP_EMPTY,Empty,StairE,Empty,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairE,Empty,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairE,Empty,StairW
TOP_EMPTY,Empty,StairE,Wall,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,StairE,Wall,Wall
TOP_EMPTY,Empty,StairE,Wall,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,StairE,Wall,StairN
TOP_EMPTY,Empty,StairE,Wall,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairE,Wall,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairE,Wall,StairW
TOP_EMPTY,Empty,StairE,Door,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairE,Door,Wall
TOP_EMPTY,Empty,StairE,Door,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairE,Door,StairN
TOP_EMPTY,Empty,StairE,Door,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairE,Door,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairE,Door,StairW
TOP_EMPTY,Empty,StairE,StairN,Empty
TOP_EMPTY_SOUTHWALLCORNER_SOUTHEASTSTAIRN,Empty,StairE,StairN,Wall
TOP_EMPTY,Empty,StairE,StairN,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,StairE,StairN,StairN
TOP_EMPTY,Empty,StairE,StairN,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairE,StairN,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairE,StairN,StairW
TOP_EMPTY,Empty,StairE,StairS,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairE,StairS,Wall
TOP_EMPTY,Empty,StairE,StairS,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairE,StairS,StairN
TOP_EMPTY,Empty,StairE,StairS,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairE,StairS,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairE,StairS,StairW
TOP_EMPTY,Empty,StairE,StairE,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairE,StairE,Wall
TOP_EMPTY,Empty,StairE,StairE,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairE,StairE,StairN
TOP_EMPTY,Empty,StairE,StairE,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairE,StairE,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairE,StairE,StairW
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,StairE,StairW,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,StairE,StairW,Wall
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,StairE,StairW,Door
TOP_EMPTY_SOUTHSTAIRN_SOUTHEASTSTAIRW,Empty,StairE,StairW,StairN
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,StairE,StairW,StairS
TOP_EMPTY_SOUTHSTAIRE_SOUTHEASTSTAIRW,Empty,StairE,StairW,StairE
TOP_EMPTY_SOUTHSTAIRW_SOUTHEASTSTAIRW,Empty,StairE,StairW,StairW
TOP_EMPTY_EASTSTAIRW,Empty,StairW,Empty,Empty
TOP_EMPTY_SOUTHWALLCORNER_EASTSTAIRW,Empty,StairW,Empty,Wall
TOP_EMPTY_EASTSTAIRW,Empty,StairW,Empty,Door
TOP_EMPTY_SOUTHSTAIRN_EASTSTAIRW,Empty,StairW,Empty,StairN
TOP_EMPTY_EASTSTAIRW,Empty,StairW,Empty,StairS
TOP_EMPTY_SOUTHSTAIRE_EASTSTAIRW,Empty,StairW,Empty,StairE
TOP_EMPTY_SOUTHSTAIRW_EASTSTAIRW,Empty,StairW,Empty,StairW
TOP_EMPTY_EASTSTAIRWFULL,Empty,StairW,Wall,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL_EASTSTAIRWFULL,Empty,StairW,Wall,Wall
TOP_EMPTY_EASTSTAIRWFULL,Empty,StairW,Wall,Door
TOP_EMPTY_SOUTHSTAIRNFULL_EASTSTAIRWFULL,Empty,StairW,Wall,StairN
TOP_EMPTY_EASTSTAIRWFULL,Empty,StairW,Wall,StairS
TOP_EMPTY_SOUTHSTAIRE_EASTSTAIRWFULL,Empty,StairW,Wall,StairE
TOP_EMPTY_SOUTHSTAIRW_EASTSTAIRWFULL,Empty,StairW,Wall,StairW
TOP_EMPTY_EASTSTAIRW,Empty,StairW,Door,Empty
TOP_EMPTY_SOUTHWALLCORNER_EASTSTAIRW,Empty,StairW,Door,Wall
TOP_EMPTY_EASTSTAIRW,Empty,StairW,Door,Door
TOP_EMPTY_SOUTHSTAIRN_EASTSTAIRW,Empty,StairW,Door,StairN
TOP_EMPTY_EASTSTAIRW,Empty,StairW,Door,StairS
TOP_EMPTY_SOUTHSTAIRE_EASTSTAIRW,Empty,StairW,Door,StairE
TOP_EMPTY_SOUTHSTAIRW_EASTSTAIRW,Empty,StairW,Door,StairW
TOP_EMPTY_EASTSTAIRW,Empty,StairW,StairN,Empty
TOP_EMPTY_SOUTHWALLCORNER_SOUTHEASTSTAIRN_EASTSTAIRW,Empty,StairW,StairN,Wall
TOP_EMPTY_EASTSTAIRW,Empty,StairW,StairN,Door
TOP_EMPTY_SOUTHSTAIRNFULL_SOUTHEASTSTAIRN_EASTSTAIRW,Empty,StairW,StairN,StairN
TOP_EMPTY_EASTSTAIRW,Empty,StairW,StairN,StairS
TOP_EMPTY_SOUTHSTAIRE_EASTSTAIRW,Empty,StairW,StairN,StairE
TOP_EMPTY_SOUTHSTAIRW_EASTSTAIRW,Empty,StairW,StairN,StairW
TOP_EMPTY_EASTSTAIRW,Empty,StairW,StairS,Empty
TOP_EMPTY_SOUTHWALLCORNER_EASTSTAIRW,Empty,StairW,StairS,Wall
TOP_EMPTY_EASTSTAIRW,Empty,StairW,StairS,Door
TOP_EMPTY_SOUTHSTAIRN_EASTSTAIRW,Empty,StairW,StairS,StairN
TOP_EMPTY_EASTSTAIRW,Empty,StairW,StairS,StairS
TOP_EMPTY_SOUTHSTAIRE_EASTSTAIRW,Empty,StairW,StairS,StairE
TOP_EMPTY_SOUTHSTAIRW_EASTSTAIRW,Empty,StairW,StairS,StairW
TOP_EMPTY_EASTSTAIRW,Empty,StairW,StairE,Empty
TOP_EMPTY_SOUTHWALLCORNER_EASTSTAIRW,Empty,StairW,StairE,Wall
TOP_EMPTY_EASTSTAIRW,Empty,StairW,StairE,Door
TOP_EMPTY_SOUTHSTAIRN_EASTSTAIRW,Empty,StairW,StairE,StairN
TOP_EMPTY_EASTSTAIRW,Empty,StairW,StairE,StairS
TOP_EMPTY_SOUTHSTAIRE_EASTSTAIRW,Empty,StairW,StairE,StairE
TOP_EMPTY_SOUTHSTAIRW_EASTSTAIRW,Empty,StairW,StairE,StairW
TOP_EMPTY_EASTSTAIRWFULL,Empty,StairW,StairW,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL_EASTSTAIRWFULL,Empty,StairW,StairW,Wall
TOP_EMPTY_EASTSTAIRWFULL,Empty,StairW,StairW,Door
TOP_EMPTY_SOUTHSTAIRNFULL_EASTSTAIRWFULL,Empty,StairW,StairW,StairN
TOP_EMPTY_EASTSTAIRWFULL,Empty,StairW,StairW,StairS
TOP_EMPTY_SOUTHSTAIRE_EASTSTAIRWFULL,Empty,StairW,StairW,StairE
TOP_EMPTY_SOUTHSTAIRW_EASTSTAIRWFULL,Empty,StairW,StairW,StairW
TOP_EMPTY,Wall,Empty,Empty,Empty
TOP_EMPTY_SOUTHWALLCORNER,Wall,Empty,Empty,Wall
TOP_EMPTY,Wall,Empty,Empty,Door
TOP_EMPTY_SOUTHSTAIRN,Wall,Empty,Empty,StairN
TOP_EMPTY,Wall,Empty,Empty,StairS
TOP_EMPTY_SOUTHSTAIREFULL,Wall,Empty,Empty,StairE
TOP_EMPTY_SOUTHSTAIRWFULL,Wall,Empty,Empty,StairW
TOP_EMPTY,Wall,Empty,Wall,Empty
TOP_WALLVERTICAL_SOUTHWALLHORIZONTAL,Wall,Empty,Wall,Wall
TOP_EMPTY,Wall,Empty,Wall,Door
TOP_WALLVERTICAL_SOUTHSTAIRNFULL,Wall,Empty,Wall,StairN
TOP_EMPTY,Wall,Empty,Wall,StairS
TOP_EMPTY_SOUTHSTAIREFULL,Wall,Empty,Wall,StairE
TOP_EMPTY_SOUTHSTAIRWFULL,Wall,Empty,Wall,StairW
TOP_EMPTY,Wall,Empty,Door,Empty
TOP_EMPTY_SOUTHWALLCORNER,Wall,Empty,Door,Wall
TOP_EMPTY,Wall,Empty,Door,Door
TOP_EMPTY_SOUTHSTAIRN,Wall,Empty,Door,StairN
TOP_EMPTY,Wall,Empty,Door,StairS
TOP_EMPTY_SOUTHSTAIREFULL,Wall,Empty,Door,StairE
TOP_EMPTY_SOUTHSTAIRWFULL,Wall,Empty,Door,StairW
TOP_EMPTY,Wall,Empty,StairN,Empty
TOP_WALLVERTICAL_SOUTHWALLCORNER_SOUTHEASTSTAIRN,Wall,Empty,StairN,Wall
TOP_EMPTY,Wall,Empty,StairN,Door
TOP_WALLVERTICAL_SOUTHSTAIRNFULL,Wall,Empty,StairN,StairN
TOP_EMPTY,Wall,Empty,StairN,StairS
TOP_EMPTY_SOUTHSTAIREFULL,Wall,Empty,StairN,StairE
TOP_EMPTY_SOUTHSTAIRWFULL,Wall,Empty,StairN,StairW
TOP_EMPTY,Wall,Empty,StairS,Empty
TOP_EMPTY_SOUTHWALLCORNER,Wall,Empty,StairS,Wall
TOP_EMPTY,Wall,Empty,StairS,Door
TOP_EMPTY_SOUTHSTAIRN,Wall,Empty,StairS,StairN
TOP_EMPTY,Wall,Empty,StairS,StairS
TOP_EMPTY_SOUTHSTAIREFULL,Wall,Empty,StairS,StairE
TOP_EMPTY_SOUTHSTAIRWFULL,Wall,Empty,StairS,StairW
TOP_EMPTY,Wall,Empty,StairE,Empty
TOP_EMPTY_SOUTHWALLCORNER,Wall,Empty,StairE,Wall
TOP_EMPTY,Wall,Empty,StairE,Door
TOP_EMPTY_SOUTHSTAIRN,Wall,Empty,StairE,StairN
TOP_EMPTY,Wall,Empty,StairE,StairS
TOP_EMPTY_SOUTHSTAIREFULL,Wall,Empty,StairE,StairE
TOP_EMPTY_SOUTHSTAIRWFULL,Wall,Empty,StairE,StairW
