TopSprite { center: None, south: None, south_east: None, east: None }
TopSprite { center: Door, south: WallCorner, south_east: None, east: None }
TopSprite { center: Door, south: WallHorizontal, south_east: None, east: None }
TopSprite { center: Door, south: WallCorner, south_east: StairN, east: None }
TopSprite { center: Door, south: WallHorizontal, south_east: StairW, east: None }
TopSprite { center: Door, south: WallCorner, south_east: None, east: StairW }
TopSprite { center: Door, south: WallHorizontal, south_east: None, east: StairWFull }
TopSprite { center: Door, south: WallCorner, south_east: StairN, east: StairW }
TopSprite { center: Door, south: WallHorizontal, south_east: StairWFull, east: StairWFull }
TopSprite { center: None, south: StairEFull, south_east: None, east: None }
TopSprite { center: None, south: StairEFull, south_east: StairW, east: None }
TopSprite { center: None, south: StairEFull, south_east: StairWFull, east: None }
TopSprite { center: None, south: StairEFull, south_east: None, east: StairW }
TopSprite { center: None, south: StairEFull, south_east: None, east: StairWFull }
TopSprite { center: None, south: StairEFull, south_east: StairWFull, east: StairWFull }
27 unique base sprites
117 unique top sprites
